Country,Fr_FCS_Normalised,Fr_REIGN_Normalised,Fr_Displaced_UNHCR_Normalised,Fr_BRD_Normalised,Fr_FCV_status_raw,Fr_pol_trigger_raw,Fr_z_idps_raw,Fr_fatal_z_raw
AFG,10,0,10,4.119464009919911,High-Intensity conflict,Not Fragile,1.330373045706655,-0.17610719801601793
AGO,0,0,0,8.203753923075322,NA,Not Fragile,0,0.6407507846150643
ALB,0,0,0,5,NA,Not Fragile,0,2.8768586669271192
ARE,0,0,0,5,NA,Not Fragile,0,1.2909944487358056
ARG,0,0,0,0,NA,Not Fragile,0,-1.6492150718201775
ARM,0,0,0,0,NA,Not Fragile,0,-0.96323340270444
ATG,0,0,0,0,NA,Not Fragile,0,-0.3700064349504774
AUS,0,0,0,NA,NA,Not Fragile,0,NA
AUT,0,0,0,0,NA,Not Fragile,0,-0.7203635830510897
AZE,0,0,10,4.1523661368855045,NA,Not Fragile,1.9654741466040924,-0.16952677262289903
BDI,10,0,0,0,High-Institutional and Social Fragility,Not Fragile,-0.6364726838010836,-1.292511757819104
BEL,0,0,0,5,NA,Not Fragile,0,2.898233344049648
BEN,0,0,0,10,NA,Not Fragile,0,1.7641673295815823
BFA,10,10,10,4.25825091773008,Medium-Intensity conflict,Fragile,2.03427826532239,-0.1483498164539841
BGD,0,0,0,9.511790215078962,NA,Not Fragile,0,0.9023580430157924
BGR,0,0,0,0,NA,Not Fragile,0,NaN
BHR,0,0,0,0,NA,Not Fragile,0,-0.2888921020321278
BHS,0,0,0,NA,NA,Not Fragile,0,NA
BIH,0,0,1.6952912574299983,0,NA,Not Fragile,0.1695291257429999,-0.4272771810823557
BLR,0,0,0,0,NA,Not Fragile,0,-0.39609342292658023
BLZ,0,0,0,0.7113203107373387,NA,Not Fragile,0,-0.8577359378525322
BOL,0,0,0,0,NA,Not Fragile,0,-0.42499561452893303
BRA,0,0,0,3.424724949071944,NA,Not Fragile,0,-0.3150550101856111
BRB,0,0,0,NA,NA,Not Fragile,0,NA
BRN,0,0,NA,NA,NA,Not Fragile,NA,NA
BTN,0,0,0,NA,NA,Not Fragile,0,NA
BWA,0,0,0,5,NA,Not Fragile,0,1.491687932232773
CAF,10,NA,8.476558377379803,4.620951101902884,Medium-Intensity conflict,NA,0.8476558377379804,-0.07580977961942316
CAN,0,0,0,NA,NA,Not Fragile,0,NA
CHE,0,0,0,0,NA,Not Fragile,0,NaN
CHL,0,0,0,0,NA,Not Fragile,0,-0.09815511509191678
CHN,0,0,0,9.532132073186784,NA,Not Fragile,0,0.9064264146373568
CIV,0,0,0,6.714961266375687,NA,Not Fragile,-0.44565583039743906,0.34299225327513727
CMR,10,0,10,4.544367194044803,Medium-Intensity conflict,Not Fragile,1.6019556492212326,-0.09112656119103942
COD,10,0,10,6.923810915860145,Medium-Intensity conflict,Not Fragile,1.1418064842375164,0.384762183172029
COG,10,0,10,0,High-Institutional and Social Fragility,Not Fragile,1.0122623397775035,-0.6506557645521419
COL,0,0,9.256171655313933,10,NA,Not Fragile,0.9256171655313933,1.9479376176518353
COM,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
CPV,0,0,0,NA,NA,Not Fragile,0,NA
CRI,0,0,0,0,NA,Not Fragile,0,-0.9104653047996105
CUB,0,0,0,0,NA,Not Fragile,0,-0.6444239019087225
CYP,0,0,NA,0,NA,Not Fragile,NA,-0.4272771810823557
CZE,0,0,0,0,NA,Not Fragile,0,NaN
DEU,0,0,0,0,NA,Not Fragile,0,-0.6903478881652041
DJI,0,0,0,0,NA,Not Fragile,0,-0.7242557999866001
DMA,0,0,0,0,NA,Not Fragile,0,-0.43461349368017654
DNK,0,0,0,0,NA,Not Fragile,0,-0.5032362797401965
DOM,0,0,0,0,NA,Not Fragile,0,-1.574439261641737
DZA,0,0,0,0,NA,Not Fragile,0,-1.9815157636547305
ECU,0,0,0,0,NA,Not Fragile,0,-1.677542415497772
EGY,0,0,0,0,NA,Not Fragile,0,-2.2273709621029467
ERI,10,0,0,0,High-Institutional and Social Fragility,Not Fragile,0,-0.6405126152203485
ESP,0,0,0,0,NA,Not Fragile,0,-0.5032362797401965
EST,0,0,0,0,NA,Not Fragile,0,NaN
ETH,0,0,7.504902060320009,10,NA,Not Fragile,0.7504902060320009,1.6107801553921657
FIN,0,0,NA,0,NA,Not Fragile,NA,-0.5032362797401965
FJI,0,0,0,NA,NA,Not Fragile,0,NA
FRA,0,0,0,0,NA,Not Fragile,0,0.9843964112964189
FSM,10,NA,NA,NA,High-Institutional and Social Fragility,NA,NA,NA
GAB,0,0,0,0,NA,Not Fragile,0,0.9395155849830105
GBR,0,NA,0,0,NA,NA,0,0.11413726416674376
GEO,0,0,10,0,NA,Not Fragile,1.2471388556013376,-0.8567126921254177
GHA,0,0,0,0,NA,Not Fragile,0,-1.426026924674363
GIN,0,0,0,5.755709147614452,NA,Not Fragile,0,0.15114182952289038
GMB,10,10,0,0,High-Institutional and Social Fragility,Fragile,0,-0.8012336167697754
GNB,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
GNQ,0,0,0,NA,NA,Not Fragile,0,NA
GRC,0,0,0,0,NA,Not Fragile,0,0.5138677004796817
GRD,0,0,0,0,NA,Not Fragile,0,NaN
GTM,0,0,0,0,NA,Not Fragile,0,-2.5458259219100894
GUY,0,0,0,0,NA,Not Fragile,0,-0.7159684345607732
HND,0,0,10,2.4207690964611084,NA,Not Fragile,1.0915648462872956,-0.5158461807077783
HRV,0,0,0,5,NA,Not Fragile,0,1.9108416442692693
HTI,10,10,0,8.413503627757947,High-Institutional and Social Fragility,Fragile,0,0.6827007255515894
HUN,0,0,0,0,NA,Not Fragile,0,NaN
IDN,0,0,0,3.303634824744252,NA,Not Fragile,0,-0.3392730350511495
IND,0,0,0,0,NA,Not Fragile,0,-1.2795318648390797
IRL,0,0,NA,0,NA,Not Fragile,NA,NaN
IRN,0,0,0,6.154661657649525,NA,Not Fragile,0,0.2309323315299049
IRQ,10,10,0,0,Medium-Intensity conflict,Fragile,-1.2855425812055121,-1.2697696639168472
ISL,0,0,0,0,NA,Not Fragile,0,-0.5838742081211421
ISR,0,0,0,5,NA,Not Fragile,0,1.0379338308275619
ITA,0,0,0,0,NA,Not Fragile,0,NaN
JAM,0,0,0,6.3010616427392385,NA,Not Fragile,0,0.26021232854784765
JOR,0,0,0,0,NA,Not Fragile,0,-0.8211981563503457
JPN,0,0,0,0,NA,Not Fragile,0,NaN
KAZ,0,0,0,0,NA,Not Fragile,0,-0.7415046314031613
KEN,0,0,0,0,NA,Not Fragile,0,-2.651320772529778
KGZ,0,0,0,10,NA,Not Fragile,0,3.636288794515666
KHM,0,0,0,0,NA,Not Fragile,0,-0.4161246331628454
KIR,10,0,NA,NA,High-Institutional and Social Fragility,Not Fragile,NA,NA
KNA,0,0,0,NA,NA,Not Fragile,0,NA
KOR,0,0,0,0,NA,Not Fragile,0,NaN
KWT,0,0,0,5,NA,Not Fragile,0,2.0957473279823353
LAO,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
LBN,10,0,0,3.94470644022317,High-Institutional and Social Fragility,Not Fragile,0,-0.21105871195536602
LBR,10,0,0,0,High-Institutional and Social Fragility,Not Fragile,0,-1.0969328345345737
LBY,10,0,6.422773190305634,0,High-Intensity conflict,Not Fragile,0.6422773190305634,-2.227914134428607
